"","E - Name","E - Total Actions","S - Name","S - Last Login","S - Saved Report Count","S - Scheduled Policy Count","S - Scheduled Report Count"
"1","0000ff.co",5988,"0000ff.co","2015-01-22","0.0","0.0","0.0"
"2","autotest.cloud8labs.com",126688,"autotest.cloud8labs.com","2015-02-04","0.0","0.0","0.0"
"3","bettercloud.com",516,"bettercloud.com","2014-10-20","0.0","0.0","0.0"
"4","bettercloudproduct.com",17,"bettercloudproduct.com","2014-11-10","0.0","0.0","0.0"
"5","cloud8labs.com",16155,"cloud8labs.com","2015-02-04","1.0","1.0","0.0"
"6","dundermifflin.net",836,"dundermifflin.net","2014-10-17","0.0","1.0","0.0"
"7","flashpaneldemo.com",906,"flashpaneldemo.com","2014-05-06","0.0","0.0","0.0"
"8","fpbasic.info",17,"fpbasic.info","2015-01-12","0.0","0.0","0.0"
"9","fpenterprise.info",0,"fpenterprise.info","2014-08-19","0.0","0.0","0.0"
"10","fptrial.info",8,"fptrial.info","2014-05-07","0.0","0.0","0.0"
"11","gameofclouds.com",3153,"gameofclouds.com","2015-02-04","1.0","0.0","1.0"
"12","gappsr.us",571,"gappsr.us","2014-07-16","0.0","0.0","0.0"
"13","gooruuniversity.org",2399,"gooruuniversity.org","2013-05-31","0.0","0.0","0.0"
"14","gooruvideos.com",275,"gooruvideos.com","2014-08-25","0.0","0.0","0.0"
"15","hamfistedspacedad.com",350,"hamfistedspacedad.com","2014-09-10","0.0","0.0","0.0"
"16","redhammr.net",12913,"redhammr.net","2015-01-06","0.0","0.0","0.0"
"17","simplysqueeze.me",1592,"simplysqueeze.me","2014-11-12","0.0","0.0","0.0"
"18","statictest.cloud8labs.com",4905,"statictest.cloud8labs.com","2015-01-30","0.0","0.0","0.0"
"19","statictest2.cloud8labs.com",930,"statictest2.cloud8labs.com","2015-02-04","0.0","0.0","0.0"
"20","statictest3.cloud8labs.com",5095,"statictest3.cloud8labs.com","2015-02-03","0.0","0.0","0.0"
"21","statictest4policies.cloud8labs.com",147,"statictest4policies.cloud8labs.com","2014-07-07","0.0","0.0","0.0"
"22","tableflip.me",4087,"tableflip.me","2015-01-27","0.0","0.0","0.0"
"23","test.cloud8labs.com",7506,"test.cloud8labs.com","2015-02-04","0.0","1.0","0.0"
